,home_team,away_team,home_team_number,away_team_number,home_goal_expect,away_goal_expect,game_number,draw,home_win,away_win
0,1. FC Köln ,Hertha BSC ,0.0,12.0,2.015497107934083,0.6965272856130403,0,0.19791328016658452,0.6663557280909446,0.11851544355599129
1,1. FC Union Berlin ,Bayer 04 Leverkusen ,1.0,9.0,1.178653279493616,1.7783132530120482,1,0.2331887750844109,0.25117396391525726,0.5044550203689538
2,1. FSV Mainz 05 ,RB Leipzig ,2.0,13.0,1.2965186074429773,0.8138908575478386,2,0.2870323251310707,0.4765306148656405,0.23403409280416954
3,Arminia Bielefeld ,SC Freiburg ,3.0,14.0,0.6187929717341482,1.525726435152374,3,0.2567073536014244,0.14963997534085,0.5887766085687132
4,Bor. Mönchengladbach ,Bayern München ,4.0,10.0,1.426170468187275,3.3754783841247344,4,0.12996857771085776,0.12047460187331475,0.6201219124256321
5,Borussia Dortmund ,Eintracht Frankfurt ,5.0,11.0,2.7580486740150603,1.7859673990077962,5,0.17577701874589388,0.5227751844290387,0.2305347568636526
6,FC Augsburg ,TSG Hoffenheim ,6.0,16.0,1.7679799192404237,1.5920623671155207,6,0.22702408192941767,0.4136644948476184,0.3438983674424884
7,VfB Stuttgart ,SpVgg Greuther Fürth ,7.0,15.0,2.695187165775401,1.0613749114103472,7,0.15621494520554915,0.6627002583198262,0.12397779663929148
8,VfL Wolfsburg ,VfL Bochum ,8.0,17.0,1.7188693659281897,0.910843373493976,8,0.23764586410180089,0.5560236724774996,0.19755299005108132
9,Bayer 04 Leverkusen ,Bor. Mönchengladbach ,9.0,4.0,2.60482374768089,1.2323175053153794,9,0.17055917383137717,0.619164384016196,0.15925573031393556
10,Bayern München ,1. FC Köln ,10.0,0.0,2.640183346065699,0.9567682494684623,10,0.15476351153074208,0.6803579144626065,0.1123834139405925
11,Eintracht Frankfurt ,FC Augsburg ,11.0,6.0,1.1786532794936153,0.7858256555634304,11,0.3034668677793489,0.44974278206582047,0.24525165040055397
12,Hertha BSC ,VfL Wolfsburg ,12.0,8.0,1.555822328931573,1.515520907158044,12,0.2397049272574168,0.3836324086250746,0.36671147492520695
13,RB Leipzig ,VfB Stuttgart ,13.0,7.0,2.280694095820146,0.563855421686747,13,0.16072562220876602,0.7347787513884622,0.07551957369944909
14,SC Freiburg ,Borussia Dortmund ,14.0,5.0,1.5086761977518282,2.104890148830617,14,0.20985540802872008,0.2714957437582361,0.4935101269970778
15,SpVgg Greuther Fürth ,Arminia Bielefeld ,15.0,3.0,0.8839899596202117,1.010347271438696,15,0.3179076248080871,0.3069286036888078,0.3742247856017379
16,TSG Hoffenheim ,1. FC Union Berlin ,16.0,1.0,1.8033395176252318,1.5308291991495397,16,0.22677572706923743,0.4331593112363794,0.32474393128218526
17,VfL Bochum ,1. FSV Mainz 05 ,17.0,2.0,1.4025974025974026,0.7373493975903617,17,0.27466737453841705,0.5253282103962738,0.19665569429556418
18,1. FC Köln ,VfL Bochum ,0.0,17.0,1.8563789152024444,0.910843373493976,18,0.22338729807023344,0.5842126382554624,0.1801184017733006
19,1. FC Union Berlin ,Bor. Mönchengladbach ,1.0,4.0,1.6697588126159557,0.910843373493976,19,0.2428412422091679,0.5452750822064122,0.20415589732160636
20,1. FSV Mainz 05 ,SpVgg Greuther Fürth ,2.0,15.0,3.176470588235295,0.36484762579730684,20,0.07363215734889522,0.8024922156012846,0.021129447507516923
21,Arminia Bielefeld ,Eintracht Frankfurt ,3.0,11.0,0.7955909636581904,1.4670446491849756,21,0.2659425117015026,0.20326002195428225,0.5266109164782101
22,Bayern München ,Hertha BSC ,10.0,12.0,3.583105969660592,0.49751948972360027,22,0.06341888344501805,0.7602849021934933,0.022721391384380236
23,Borussia Dortmund ,TSG Hoffenheim ,5.0,16.0,3.67739823202008,1.7145287030474843,23,0.1258552889323086,0.5699431169113328,0.1305747258633769
24,FC Augsburg ,Bayer 04 Leverkusen ,6.0,9.0,1.178653279493616,2.719773210489014,24,0.16009530262286736,0.13989965638846077,0.6403796572038152
25,VfB Stuttgart ,SC Freiburg ,7.0,14.0,1.1550802139037433,2.1227498228206945,25,0.20489123396777567,0.198730615699333,0.5737534829681851
26,VfL Wolfsburg ,RB Leipzig ,8.0,13.0,0.9822110662446798,1.5537916371367826,26,0.25474273297033634,0.23860798621831603,0.500846210161135
27,1. FC Union Berlin ,FC Augsburg ,1.0,6.0,1.4733165993670194,0.6072289156626507,27,0.26418046220088115,0.5790878133725205,0.15259960087558933
28,Bayer 04 Leverkusen ,Borussia Dortmund ,9.0,5.0,1.8386991160100405,1.9364989369241676,28,0.21333985590367668,0.3626248827155219,0.39839963127904077
29,Bor. Mönchengladbach ,Arminia Bielefeld ,4.0,3.0,1.9447779111644659,0.8266477675407514,29,0.21159203344723848,0.6216477671232085,0.15189182140414073
30,Eintracht Frankfurt ,VfB Stuttgart ,11.0,7.0,1.060787951544254,0.7296952515946137,30,0.32330674500541534,0.4277080712791851,0.24806814282600112
31,RB Leipzig ,Bayern München ,13.0,10.0,1.8583433373349338,2.1253012048192774,31,0.2057209357077192,0.3338265829264175,0.42721140813389913
32,SC Freiburg ,1. FC Köln ,14.0,0.0,1.7601222307104658,1.5946137491141037,32,0.22732479889195809,0.4115621741503688,0.34584654910261153
33,SpVgg Greuther Fürth ,VfL Wolfsburg ,15.0,8.0,0.9723889555822329,1.515520907158044,33,0.2587365418828943,0.24206744686888015,0.4940051889693744
34,TSG Hoffenheim ,1. FSV Mainz 05 ,16.0,2.0,2.2708719851576995,1.040963855421687,34,0.18906793008301273,0.6219490192087832,0.15983735911979846
35,VfL Bochum ,Hertha BSC ,17.0,12.0,1.567608861726509,0.563855421686747,35,0.24913463003791592,0.6140645067584216,0.1312851600870492
36,1. FC Köln ,RB Leipzig ,0.0,13.0,1.060787951544254,1.5537916371367826,36,0.25366676641997893,0.2583241222429292,0.48194450063774225
37,1. FSV Mainz 05 ,SC Freiburg ,2.0,14.0,1.361344537815126,0.7296952515946137,37,0.2803602941462679,0.5163563770768365,0.2003762696069439
38,Arminia Bielefeld ,TSG Hoffenheim ,3.0,16.0,1.0607879515442542,1.4083628632175764,38,0.2669865000182799,0.2828645473699863,0.44605254513998926
39,Bayern München ,VfL Bochum ,10.0,17.0,3.300229182582124,0.6506024096385543,39,0.08878118400616276,0.7527360483444432,0.0412785902267562
40,Borussia Dortmund ,1. FC Union Berlin ,5.0,1.0,2.7580486740150603,1.7859673990077962,40,0.17577701874589388,0.5227751844290387,0.2305347568636526
41,FC Augsburg ,Bor. Mönchengladbach ,6.0,4.0,1.6697588126159557,1.3930545712260807,41,0.2377005844002265,0.43390729279913637,0.31792532658064604
42,Hertha BSC ,SpVgg Greuther Fürth ,12.0,15.0,2.310160427807487,1.0945428773919206,42,0.18781414163467372,0.6151572188602178,0.16558839935750239
43,VfB Stuttgart ,Bayer 04 Leverkusen ,7.0,9.0,1.3200916730328496,3.3474131821403263,43,0.1266194443880281,0.10982634781860834,0.6385492557860885
44,VfL Wolfsburg ,Eintracht Frankfurt ,8.0,11.0,1.3259849394303178,1.3394755492558472,44,0.2601067613088112,0.36436546881919285,0.3704935411554769
45,1. FC Union Berlin ,Arminia Bielefeld ,1.0,3.0,1.4733165993670194,0.5204819277108435,45,0.2624117667263839,0.6037031334573498,0.12977666254767983
46,Bayer 04 Leverkusen ,1. FSV Mainz 05 ,9.0,2.0,2.60482374768089,0.9975903614457833,46,0.15977045862439276,0.6687875753945414,0.12149144082492896
47,Bor. Mönchengladbach ,Borussia Dortmund ,4.0,5.0,1.555822328931573,2.2732813607370663,47,0.19997607618017424,0.2559679964900922,0.51034901456164
48,Eintracht Frankfurt ,1. FC Köln ,11.0,0.0,1.100076394194041,1.4032600992204112,48,0.2660587420892736,0.29408055358308,0.4356583073989105
49,RB Leipzig ,Hertha BSC ,13.0,12.0,3.2098657644876134,0.563855421686747,49,0.08758254051950744,0.7694646036259429,0.03639248240332838
50,SC Freiburg ,FC Augsburg ,14.0,6.0,1.8858452471897849,0.8929836995038981,50,0.21990985468568042,0.5942973954033524,0.17267992900145984
51,SpVgg Greuther Fürth ,Bayern München ,15.0,10.0,0.6482593037214885,4.125584691708009,51,0.05146692116890884,0.021681509727484668,0.6920133576879224
52,TSG Hoffenheim ,VfL Wolfsburg ,16.0,8.0,2.2040816326530615,1.1021970233876686,52,0.19679882099927887,0.5984439085423477,0.17869961770229192
53,VfL Bochum ,VfB Stuttgart ,17.0,7.0,1.1138273491214667,0.563855421686747,53,0.3238854665385587,0.48909055912831445,0.18596524348180885
54,1. FC Köln ,SpVgg Greuther Fürth ,0.0,15.0,2.5989304812834226,0.6965272856130403,54,0.14132115195099818,0.7327311780913018,0.07690578475934988
55,1. FSV Mainz 05 ,1. FC Union Berlin ,2.0,1.0,1.7503001200480193,0.7016300496102056,55,0.22915753701873434,0.6164653607063509,0.1451460704190101
56,Arminia Bielefeld ,Bayer 04 Leverkusen ,3.0,9.0,0.7071919676961693,2.4059532246633597,56,0.15906281475975323,0.09047268773310618,0.7143407574671856
57,Bayern München ,Eintracht Frankfurt ,10.0,11.0,2.54589108370621,0.9567682494684623,57,0.16226143684034294,0.672300095218613,0.11982999682595068
58,Borussia Dortmund ,FC Augsburg ,5.0,6.0,3.0644985266834,1.0001417434443658,58,0.12679652191630347,0.6927806717868591,0.08932215743976495
59,Hertha BSC ,SC Freiburg ,12.0,14.0,0.9900687547746373,2.189085754783841,59,0.19420789977701494,0.15881765823910504,0.6220298901047961
60,RB Leipzig ,VfL Bochum ,13.0,17.0,2.9564553093964854,0.7373493975903617,60,0.11688194258782107,0.7398914653985802,0.06352523450333115
61,VfB Stuttgart ,TSG Hoffenheim ,7.0,16.0,1.9801375095492741,1.9594613749114107,61,0.20858159267966583,0.3839876003040185,0.3766688780893085
62,VfL Wolfsburg ,Bor. Mönchengladbach ,8.0,4.0,1.6697588126159557,1.1251594613749116,62,0.24256186755513365,0.49347479514457937,0.25552121913147735
63,1. FC Union Berlin ,VfL Wolfsburg ,1.0,8.0,1.620648259303722,0.7807228915662653,63,0.24699912033197716,0.5674862734788073,0.17894116028486184
64,Bayer 04 Leverkusen ,Bayern München ,9.0,10.0,1.6854741896758703,2.875407512402552,64,0.16749452998424577,0.20160720243832106,0.5518796599349992
65,Bor. Mönchengladbach ,VfB Stuttgart ,4.0,7.0,1.7503001200480193,0.8955350815024805,65,0.23410758901763296,0.5665418117167449,0.189878306116171
66,Borussia Dortmund ,1. FSV Mainz 05 ,5.0,2.0,3.473098330241187,1.2144578313253014,66,0.11412329598283429,0.6558413406638932,0.08981240646290563
67,Eintracht Frankfurt ,Hertha BSC ,11.0,12.0,1.4929608206919132,0.7296952515946137,67,0.262632344029997,0.5505194301623483,0.18237866657740567
68,FC Augsburg ,Arminia Bielefeld ,6.0,3.0,1.4733165993670194,0.7960311835577604,68,0.26516069372221773,0.5280790789214108,0.2024906409932562
69,SC Freiburg ,RB Leipzig ,14.0,13.0,1.2572301647931898,1.8497519489723604,69,0.22736934769742198,0.2578659391971834,0.5011644224326401
70,SpVgg Greuther Fürth ,VfL Bochum ,15.0,17.0,1.0313216195569137,1.4313253012048195,70,0.2657669286795313,0.2711426881426142,0.4588349323687727
71,TSG Hoffenheim ,1. FC Köln ,16.0,0.0,1.87012987012987,1.5308291991495397,71,0.22317211956957234,0.44634068189901505,0.3133208797059911
72,1. FC Köln ,Bayer 04 Leverkusen ,0.0,9.0,1.272945541853105,2.196739900779589,72,0.20159614061093428,0.21262258911717105,0.5590650093715456
73,1. FSV Mainz 05 ,FC Augsburg ,2.0,6.0,1.9447779111644659,0.3929128277817152,73,0.18567641504314636,0.7344336383544282,0.0652341569477612
74,Arminia Bielefeld ,Borussia Dortmund ,3.0,5.0,0.7071919676961693,1.9364989369241676,74,0.20733198561682253,0.1278074855513566,0.6503872834923712
75,Bayern München ,TSG Hoffenheim ,10.0,16.0,3.3945214449416135,0.9184975194897238,75,0.10144644012744013,0.706516889383093,0.06293753017772152
76,Hertha BSC ,Bor. Mönchengladbach ,12.0,4.0,1.6029684601113174,1.7681077250177184,76,0.22671226172394718,0.3461600950900288,0.4115219041572601
77,RB Leipzig ,SpVgg Greuther Fürth ,13.0,15.0,4.13903743315508,0.563855421686747,77,0.046296445781793746,0.699348810274705,0.01737340218124245
78,VfB Stuttgart ,1. FC Union Berlin ,7.0,1.0,1.4851031321619554,2.0411055988660527,78,0.21375034714369384,0.27648916564359444,0.48749486885361326
79,VfL Bochum ,Eintracht Frankfurt ,17.0,11.0,1.1138273491214667,1.0843373493975905,79,0.29142020808730407,0.36068421172602066,0.3459655407399709
80,VfL Wolfsburg ,SC Freiburg ,8.0,14.0,1.0313216195569137,1.3930545712260807,80,0.2693980103510975,0.27775220499279396,0.4490304948416951
81,1. FC Union Berlin ,Bayern München ,1.0,10.0,1.0804321728691477,2.1253012048192774,81,0.20278554077906621,0.1835520220073693,0.59127595722985
82,Arminia Bielefeld ,1. FSV Mainz 05 ,3.0,2.0,1.0018552875695732,0.9975903614457833,82,0.3085587768712882,0.3462379565064881,0.3440168918147407
83,Bayer 04 Leverkusen ,VfL Wolfsburg ,9.0,8.0,2.528211284513805,1.0562721474131824,83,0.16872833829410727,0.6490660457407148,0.13752085592634
84,Bor. Mönchengladbach ,VfL Bochum ,4.0,17.0,2.26890756302521,1.1710843373493978,84,0.1936378473256707,0.5923531454916517,0.18438480037291607
85,Borussia Dortmund ,1. FC Köln ,5.0,0.0,2.860198624904507,1.7859673990077962,85,0.17044665141652868,0.5315760857116023,0.21818147967631615
86,Eintracht Frankfurt ,RB Leipzig ,11.0,13.0,0.7857688529957436,1.6277817150956773,86,0.24621235208747858,0.17928128729429457,0.5677948902855848
87,FC Augsburg ,VfB Stuttgart ,6.0,7.0,1.3259849394303178,0.862367115520907,87,0.28193624795534156,0.47235810252650756,0.24297396902888896
88,SC Freiburg ,SpVgg Greuther Fürth ,14.0,15.0,3.080213903743316,0.8291991495393337,88,0.11488416581532805,0.7245725856128243,0.0681205939204324
89,TSG Hoffenheim ,Hertha BSC ,16.0,12.0,2.5380333951762526,0.7960311835577604,89,0.1533270587592723,0.7065779584773694,0.09531332991457697
90,1. FC Köln ,1. FC Union Berlin ,0.0,1.0,1.432063734584743,1.3394755492558472,90,0.25398325885485723,0.39052657222096576,0.34934638563051934
91,1. FSV Mainz 05 ,Bor. Mönchengladbach ,2.0,4.0,2.2040816326530615,0.5893692416725728,91,0.17058936844205894,0.7197830351790369,0.08448877457808746
92,Bayern München ,SC Freiburg ,10.0,14.0,1.9801375095492746,0.9950389794472005,92,0.2134196467200645,0.5868155662678576,0.1833374302028444
93,Hertha BSC ,Bayer 04 Leverkusen ,12.0,9.0,1.1315071483138712,3.4520198440822116,93,0.11079990998449825,0.08208343675022682,0.6700412539781994
94,RB Leipzig ,Borussia Dortmund ,13.0,5.0,2.027283640729019,1.4313253012048195,94,0.21473445262816251,0.49645514902348636,0.2677429051535828
95,SpVgg Greuther Fürth ,Eintracht Frankfurt ,15.0,11.0,0.7955909636581904,2.104890148830617,95,0.193629884249079,0.12978956663032803,0.6557516751848272
96,VfB Stuttgart ,Arminia Bielefeld ,7.0,3.0,1.6501145912910615,0.9797306874557054,96,0.24510964416467082,0.5238188434333731,0.22356828600173034
97,VfL Bochum ,TSG Hoffenheim ,17.0,16.0,1.4851031321619557,1.040963855421687,97,0.2604382436027499,0.4700081533346393,0.26457699256610373
98,VfL Wolfsburg ,FC Augsburg ,8.0,6.0,1.4733165993670194,0.7501063075832745,98,0.2652563933411561,0.5401638234891863,0.19035886648595016
99,1. FC Union Berlin ,Hertha BSC ,1.0,12.0,1.8662010258648916,0.563855421686747,99,0.2080780533657257,0.6754550246610875,0.10423508920835883
100,1. FSV Mainz 05 ,1. FC Köln ,2.0,0.0,1.815126050420168,0.7016300496102056,100,0.22127288318978647,0.629427826712104,0.13843204188407632
101,Arminia Bielefeld ,VfL Wolfsburg ,3.0,8.0,0.9723889555822329,1.0562721474131824,101,0.3054952324437924,0.32490625599200434,0.3682976899485109
102,Bayer 04 Leverkusen ,VfL Bochum ,9.0,17.0,2.681436210847975,0.9975903614457833,102,0.1538569224931013,0.6749449158158168,0.11539208887342632
103,Bor. Mönchengladbach ,SpVgg Greuther Fürth ,4.0,15.0,3.176470588235295,0.8955350815024805,103,0.1130586529396506,0.7130891313762227,0.07080791924921814
104,Borussia Dortmund ,VfB Stuttgart ,5.0,7.0,2.7580486740150603,0.9287030474840539,104,0.14407624510904932,0.6943429236987572,0.09968904035217888
105,FC Augsburg ,Bayern München ,6.0,10.0,1.0804321728691477,3.2504606661941886,105,0.11971268810558955,0.08782436603803667,0.6804370164377971
106,SC Freiburg ,Eintracht Frankfurt ,14.0,11.0,1.6972607224708063,1.5946137491141037,106,0.23023110955975512,0.39860770090118325,0.35732221224253913
107,TSG Hoffenheim ,RB Leipzig ,16.0,13.0,1.3358070500927643,1.775761871013466,107,0.23199301429271926,0.2869867573402853,0.46873619308818976
108,1. FC Köln ,Bor. Mönchengladbach ,0.0,4.0,1.8033395176252318,1.1251594613749116,108,0.2311372310527373,0.5220161128829489,0.2353074261341786
109,Bayern München ,Arminia Bielefeld ,10.0,3.0,2.8287678707846773,0.4592487597448619,109,0.10403756438977349,0.7904807814858232,0.03782583434285051
110,Eintracht Frankfurt ,1. FC Union Berlin ,11.0,1.0,1.060787951544254,1.4032600992204112,110,0.267451578680149,0.2837630244964585,0.44474618669555194
111,Hertha BSC ,FC Augsburg ,12.0,6.0,1.4143839353923386,1.1787384833451455,111,0.2621327703177271,0.4207137552757006,0.3124231632934845
112,RB Leipzig ,Bayer 04 Leverkusen ,13.0,9.0,2.027283640729019,1.7783132530120482,112,0.21114800302661543,0.42597911153787144,0.33565258588873637
113,SpVgg Greuther Fürth ,TSG Hoffenheim ,15.0,16.0,1.0607879515442542,2.020694542877392,113,0.21135555057929076,0.19214320184438036,0.5783885928240462
114,VfB Stuttgart ,1. FSV Mainz 05 ,7.0,2.0,1.87012987012987,1.3879518072289159,114,0.22510967652707303,0.47644104310270896,0.28309745521690904
115,VfL Bochum ,SC Freiburg ,17.0,14.0,0.8663101604278075,1.127710843373494,115,0.3053907644096256,0.27871128659065014,0.41451930392420133
116,VfL Wolfsburg ,Borussia Dortmund ,8.0,5.0,1.178653279493616,1.7681077250177184,116,0.23401495445507775,0.25273181514531623,0.5023237841562039
117,1. FC Union Berlin ,RB Leipzig ,1.0,13.0,0.9822110662446798,1.257831325301205,117,0.2846228296358619,0.2885411773857029,0.4243996412610847
118,1. FSV Mainz 05 ,VfL Wolfsburg ,2.0,8.0,2.139255702280913,0.505173635719348,118,0.171234891365228,0.7324705748543633,0.07415005654706691
119,Arminia Bielefeld ,1. FC Köln ,3.0,0.0,0.8250572956455308,1.4670446491849756,119,0.26575394483334003,0.2110557646086824,0.5189657151516309
120,Bayer 04 Leverkusen ,SpVgg Greuther Fürth ,9.0,15.0,3.7540106951871657,0.762863217576187,120,0.07314878706890462,0.7121952003915238,0.03683795318313076
121,Bor. Mönchengladbach ,SC Freiburg ,4.0,14.0,1.361344537815126,1.791070163004961,121,0.23061056560401383,0.2901340356108635,0.46634158726972635
122,Borussia Dortmund ,Bayern München ,5.0,10.0,2.247298919567827,3.5004961020552807,122,0.14864974479581194,0.20441991092634312,0.4811283417069738
123,FC Augsburg ,VfL Bochum ,6.0,17.0,1.7188693659281897,1.127710843373494,123,0.23834825485657954,0.5036397416112661,0.24850855079067632
124,TSG Hoffenheim ,Eintracht Frankfurt ,16.0,11.0,1.8033395176252318,1.5308291991495397,124,0.22677572706923743,0.4331593112363794,0.32474393128218526
125,VfB Stuttgart ,Hertha BSC ,7.0,12.0,2.0901451489686784,1.0613749114103472,125,0.20528520214176216,0.5900020390988949,0.18388101858686423
126,1. FC Köln ,FC Augsburg ,0.0,6.0,1.5911819273163808,0.7501063075832745,126,0.250189232058884,0.5687398847570406,0.17505482326654379
127,Bayern München ,1. FSV Mainz 05 ,10.0,2.0,3.205936920222635,0.6506024096385543,127,0.0943119487588179,0.7551704545824262,0.04437758440450005
128,Eintracht Frankfurt ,Bayer 04 Leverkusen ,11.0,9.0,0.9429226235948927,2.3013465627214744,128,0.18222868585577698,0.13888941576139627,0.6484087478850705
129,Hertha BSC ,Arminia Bielefeld ,12.0,3.0,1.4143839353923386,1.010347271438696,129,0.2680065412691445,0.45950047090736873,0.2685054414106888
130,RB Leipzig ,Bor. Mönchengladbach ,13.0,4.0,2.8719851576994433,0.910843373493976,130,0.13458658011847704,0.7037531689072756,0.0897549157422333
131,SC Freiburg ,TSG Hoffenheim ,14.0,16.0,2.263014296627742,1.5308291991495397,131,0.20042402354348468,0.5139893490286382,0.25278724364575095
132,SpVgg Greuther Fürth ,1. FC Union Berlin ,15.0,1.0,0.7955909636581904,2.104890148830617,132,0.193629884249079,0.12978956663032803,0.6557516751848272
133,VfL Bochum ,Borussia Dortmund ,17.0,5.0,0.9900687547746373,1.4313253012048195,133,0.2668914344595178,0.26028701699045714,0.4686976850174745
134,VfL Wolfsburg ,VfB Stuttgart ,8.0,7.0,1.3259849394303178,0.6965272856130403,134,0.28582094293856464,0.5155852663368284,0.1960484186879925
135,1. FC Union Berlin ,SC Freiburg ,1.0,14.0,1.0313216195569137,1.127710843373494,135,0.2941579252204475,0.32778188768106825,0.3762666851313346
136,1. FSV Mainz 05 ,Hertha BSC ,2.0,12.0,2.463385354141657,0.36484762579730684,136,0.1254492754456838,0.7961975697279562,0.03873104120243393
137,Arminia Bielefeld ,VfL Bochum ,3.0,17.0,1.0313216195569137,0.9975903614457833,137,0.3057846193651387,0.35519279175958524,0.3377397685180209
138,Bayer 04 Leverkusen ,TSG Hoffenheim ,9.0,16.0,2.7580486740150603,1.4083628632175764,138,0.16656858081987228,0.5968388533195028,0.1719887458926495
139,Bor. Mönchengladbach ,Eintracht Frankfurt ,4.0,11.0,1.7503001200480193,1.7221828490432323,139,0.22371398945223753,0.38482850058943113,0.3739050818092145
140,Borussia Dortmund ,SpVgg Greuther Fürth ,5.0,15.0,5.005347593582887,0.9287030474840539,140,0.03919205270806663,0.555478913143157,0.020102407007659924
141,FC Augsburg ,RB Leipzig ,6.0,13.0,0.9822110662446798,1.9237420269312544,141,0.21841942613479146,0.1874684897879844,0.5796119001093921
142,VfB Stuttgart ,Bayern München ,7.0,10.0,1.2100840336134455,4.000566973777463,142,0.08727251038018358,0.06314490406642112,0.6333963754384705
143,VfL Wolfsburg ,1. FC Köln ,8.0,0.0,1.3750954927425518,1.3394755492558472,143,0.25732301497551613,0.3765960622014421,0.3605712768506278
144,1. FC Köln ,VfB Stuttgart ,0.0,7.0,1.432063734584743,0.6965272856130403,144,0.27080310590470275,0.5439913319542873,0.18154786003246032
145,Bayern München ,VfL Wolfsburg ,10.0,8.0,3.111644657863146,0.6888731396172928,145,0.10297708483098067,0.7497875537213706,0.05157087851873697
146,Eintracht Frankfurt ,1. FSV Mainz 05 ,11.0,2.0,1.3358070500927643,0.9542168674698797,146,0.2777850701729555,0.45236369951569666,0.2668380044769947
147,Hertha BSC ,Borussia Dortmund ,12.0,5.0,1.1315071483138712,2.7784549964564147,147,0.15369318836327822,0.1277050823353206,0.6543084794433317
148,RB Leipzig ,Arminia Bielefeld ,13.0,3.0,2.534104550911273,0.5204819277108435,148,0.13308879661990344,0.7664493206159859,0.056106767149904924
149,SC Freiburg ,Bayer 04 Leverkusen ,14.0,9.0,1.5086761977518282,2.61516654854713,149,0.17849237013763045,0.20373832493091928,0.5632589901855425
150,SpVgg Greuther Fürth ,FC Augsburg ,15.0,6.0,0.8839899596202117,1.1787384833451455,150,0.2983179403707048,0.2746341401995876,0.42536389539951414
151,TSG Hoffenheim ,Bor. Mönchengladbach ,16.0,4.0,2.2708719851576995,1.2858965272856133,151,0.19642080867964204,0.5673031276124217,0.2057861172463977
152,VfL Bochum ,1. FC Union Berlin ,17.0,1.0,1.1138273491214667,1.0843373493975905,152,0.29142020808730407,0.36068421172602066,0.3459655407399709
